Time,Forecasted,Actual
00:00,0.0,0.0
00:15,0.0,0.0
00:30,0.0,0.0
00:45,0.0,0.0
01:00,0.0,0.0
01:15,0.0,0.0
01:30,0.0,0.0
01:45,0.0,0.0
02:00,0.0,0.0
02:15,0.0,0.0
02:30,0.0,0.0
02:45,0.0,0.0
03:00,0.0,0.0
03:15,0.0,0.0
03:30,0.0,0.0
03:45,0.0,0.0
04:00,0.0,0.0
04:15,0.0,0.0
04:30,0.0,0.0
04:45,0.0,0.0
05:00,0.0,0.0
05:15,0.0,0.0
05:30,0.0,0.0
05:45,0.0,0.0
06:00,0.0,1.16
06:15,3.82,0.0
06:30,13.82,12.75
06:45,24.37,31.75
07:00,33.13,32.33
07:15,37.27,32.26
07:30,43.69,42.25
07:45,50.79,46.65
08:00,57.11,64.77
08:15,60.61,62.62
08:30,68.04,66.03
08:45,71.33,71.39
09:00,75.29,71.42
09:15,79.07,81.56
09:30,86.99,91.79
09:45,92.4,88.56
10:00,91.51,92.43
10:15,98.06,94.02
10:30,91.23,88.23
10:45,89.29,86.66
11:00,94.94,95.69
11:15,99.46,108.84
11:30,102.16,99.28
11:45,97.13,99.59
12:00,96.04,105.2
12:15,103.36,101.01
12:30,94.17,100.94
12:45,98.09,104.28
13:00,92.44,89.44
13:15,95.68,95.91
13:30,92.4,95.51
13:45,88.29,87.58
14:00,89.25,91.82
14:15,88.07,82.45
14:30,78.04,84.43
14:45,79.99,76.25
15:00,79.65,80.23
15:15,74.2,74.54
15:30,72.15,80.93
15:45,60.19,65.05
16:00,57.49,64.33
16:15,46.93,50.36
16:30,46.93,38.14
16:45,33.78,23.58
17:00,29.75,33.34
17:15,27.94,28.31
17:30,20.86,13.96
17:45,3.05,2.77
18:00,1.15,0.99
18:15,0.0,0.0
18:30,0.0,0.0
18:45,0.0,0.0
19:00,0.0,0.0
19:15,0.0,0.0
19:30,0.0,0.0
19:45,0.0,0.0
20:00,0.0,0.0
20:15,0.0,0.0
20:30,0.0,0.0
20:45,0.0,0.0
21:00,0.0,0.0
21:15,0.0,0.0
21:30,0.0,0.0
21:45,0.0,0.0
22:00,0.0,0.0
22:15,0.0,0.0
22:30,0.0,0.0
22:45,0.0,0.0
23:00,0.0,0.0
23:15,0.0,0.0
23:30,0.0,0.0
23:45,0.0,0.0
